"Date","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (USD)"
"9/6/2021","Refund","112-3868235-6288209","Vorelec MX-21 Two-Channel Headphone Mixe...","-25.98","0","3.12","0","-22.86"
"9/3/2021","Other","---","FBA Inventory Reimbursement","0","0","0","18.61","18.61"
"8/30/2021","Order Payment","114-2980616-9379414","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"8/29/2021","Service Fees","---","Subscription Fee:","0","0","-39.99","0","-39.99"
"8/28/2021","Order Payment","112-3868235-6288209","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"8/28/2021","Order Payment","112-9095341-5510630","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","-5.27","-7.37","5.27","18.61"
"8/27/2021","Refund","114-7777123-2929068","Vorelec MX-21 Two-Channel Headphone Mixe...","-25.98","0","3.12","0","-22.86"
"8/27/2021","Service Fees","---","Inbound Transportation Charge","0","0","-6.77","0","-6.77"
"8/25/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","57.91","57.91"
"8/25/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-57.91","-57.91"
"8/24/2021","Order Payment","112-4084452-2197865","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"8/19/2021","Order Payment","112-8962344-9866666","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"8/19/2021","Order Payment","114-7777123-2929068","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"8/17/2021","Refund","111-3270408-5389839","Vorelec MX-21 Two-Channel Headphone Mixe...","-25.98","0","3.12","0","-22.86"
"8/15/2021","Order Payment","113-2951555-7140200","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"8/15/2021","Order Payment","111-8626134-1094668","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"8/14/2021","Other","111-2733583-8819430","FBA Inventory Reimbursement","0","0","0","18.61","18.61"
"8/13/2021","Refund","111-6846821-7568239","Vorelec MX-21 Two-Channel Headphone Mixe...","-25.98","0","3.12","0","-22.86"
"8/11/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-143.77","-143.77"
"8/11/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","143.77","143.77"
"8/11/2021","Order Payment","113-6207879-1731417","Vorelec MX-21 Two-Channel Headphone Mixe...","51.96","-1.8","-14.74","1.8","37.22"
"8/10/2021","Order Payment","112-4295447-9821061","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"8/8/2021","Order Payment","113-2715978-6221822","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"8/7/2021","Service Fees","---","FBA Inventory Storage Fee","0","0","-0.44","0","-0.44"
"8/7/2021","Order Payment","114-0310653-6189015","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"8/7/2021","Order Payment","111-6846821-7568239","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
